ini,end,wsize,mid_win,id
5066251,5076251,10000,5071251,677
5073751,5083751,10000,5078751,678
5081251,5091251,10000,5086251,679
5088751,5098751,10000,5093751,680
5096251,5106251,10000,5101251,681
5103751,5113751,10000,5108751,682
5111251,5121251,10000,5116251,683
5118751,5128751,10000,5123751,684
5126251,5136251,10000,5131251,685
5133751,5143751,10000,5138751,686
5141251,5151251,10000,5146251,687
5148751,5158751,10000,5153751,688
5156251,5166251,10000,5161251,689
5163751,5173751,10000,5168751,690
5171251,5181251,10000,5176251,691
5178751,5188751,10000,5183751,692
5186251,5196251,10000,5191251,693
5193751,5203751,10000,5198751,694
5201251,5211251,10000,5206251,695
5208751,5218751,10000,5213751,696
5216251,5226251,10000,5221251,697
5223751,5233751,10000,5228751,698
5231251,5241251,10000,5236251,699
5238751,5248751,10000,5243751,700
5246251,5256251,10000,5251251,701
5253751,5263751,10000,5258751,702
5261251,5271251,10000,5266251,703
5268751,5278751,10000,5273751,704
5276251,5286251,10000,5281251,705
5283751,5293751,10000,5288751,706
5291251,5301251,10000,5296251,707
5298751,5308751,10000,5303751,708
5306251,5316251,10000,5311251,709
5313751,5323751,10000,5318751,710
5321251,5331251,10000,5326251,711
5328751,5338751,10000,5333751,712
5336251,5346251,10000,5341251,713
5343751,5353751,10000,5348751,714
5351251,5361251,10000,5356251,715
5358751,5368751,10000,5363751,716
5366251,5376251,10000,5371251,717
5373751,5383751,10000,5378751,718
5381251,5391251,10000,5386251,719
5388751,5398751,10000,5393751,720
5396251,5406251,10000,5401251,721
5403751,5413751,10000,5408751,722
5411251,5421251,10000,5416251,723
5418751,5428751,10000,5423751,724
5426251,5436251,10000,5431251,725
5433751,5443751,10000,5438751,726
5441251,5451251,10000,5446251,727
5448751,5458751,10000,5453751,728
5456251,5466251,10000,5461251,729
5463751,5473751,10000,5468751,730
5471251,5481251,10000,5476251,731
5478751,5488751,10000,5483751,732
5486251,5496251,10000,5491251,733
5493751,5503751,10000,5498751,734
5501251,5511251,10000,5506251,735
5508751,5518751,10000,5513751,736
5516251,5526251,10000,5521251,737
5523751,5533751,10000,5528751,738
5531251,5541251,10000,5536251,739
5538751,5548751,10000,5543751,740
5546251,5556251,10000,5551251,741
5553751,5563751,10000,5558751,742
5561251,5571251,10000,5566251,743
5568751,5578751,10000,5573751,744
5576251,5586251,10000,5581251,745
5583751,5593751,10000,5588751,746
5591251,5601251,10000,5596251,747
5598751,5608751,10000,5603751,748
5606251,5616251,10000,5611251,749
5613751,5623751,10000,5618751,750
5621251,5631251,10000,5626251,751
5628751,5638751,10000,5633751,752
5636251,5646251,10000,5641251,753
5643751,5653751,10000,5648751,754
5651251,5661251,10000,5656251,755
5658751,5668751,10000,5663751,756
5666251,5676251,10000,5671251,757
5673751,5683751,10000,5678751,758
5681251,5691251,10000,5686251,759
5688751,5698751,10000,5693751,760
5696251,5706251,10000,5701251,761
5703751,5713751,10000,5708751,762
5711251,5721251,10000,5716251,763
5718751,5728751,10000,5723751,764
5726251,5736251,10000,5731251,765
5733751,5743751,10000,5738751,766
5741251,5751251,10000,5746251,767
5748751,5758751,10000,5753751,768
5756251,5766251,10000,5761251,769
5763751,5773751,10000,5768751,770
5771251,5781251,10000,5776251,771
5778751,5788751,10000,5783751,772
5786251,5796251,10000,5791251,773
5793751,5803751,10000,5798751,774
5801251,5811251,10000,5806251,775
5808751,5818751,10000,5813751,776
5816251,5826251,10000,5821251,777
5823751,5833751,10000,5828751,778
5831251,5841251,10000,5836251,779
5838751,5848751,10000,5843751,780
5846251,5856251,10000,5851251,781
5853751,5863751,10000,5858751,782
5861251,5871251,10000,5866251,783
5868751,5878751,10000,5873751,784
5876251,5886251,10000,5881251,785
5883751,5893751,10000,5888751,786
5891251,5901251,10000,5896251,787
5898751,5908751,10000,5903751,788
5906251,5916251,10000,5911251,789
5913751,5923751,10000,5918751,790
5921251,5931251,10000,5926251,791
5928751,5938751,10000,5933751,792
5936251,5946251,10000,5941251,793
5943751,5953751,10000,5948751,794
5951251,5961251,10000,5956251,795
5958751,5968751,10000,5963751,796
5966251,5976251,10000,5971251,797
5973751,5983751,10000,5978751,798
5981251,5991251,10000,5986251,799
5988751,5998751,10000,5993751,800
5996251,6006251,10000,6001251,801
6003751,6013751,10000,6008751,802
6011251,6021251,10000,6016251,803
6018751,6028751,10000,6023751,804
6026251,6036251,10000,6031251,805
6033751,6043751,10000,6038751,806
6041251,6051251,10000,6046251,807
6048751,6058751,10000,6053751,808
6056251,6066251,10000,6061251,809
6063751,6073751,10000,6068751,810
6071251,6081251,10000,6076251,811
6078751,6088751,10000,6083751,812
6086251,6096251,10000,6091251,813
6093751,6103751,10000,6098751,814
6101251,6111251,10000,6106251,815
6108751,6118751,10000,6113751,816
6116251,6126251,10000,6121251,817
6123751,6133751,10000,6128751,818
6131251,6141251,10000,6136251,819
6138751,6148751,10000,6143751,820
6146251,6156251,10000,6151251,821
6153751,6163751,10000,6158751,822
6161251,6171251,10000,6166251,823
6168751,6178751,10000,6173751,824
6176251,6186251,10000,6181251,825
6183751,6193751,10000,6188751,826
6191251,6201251,10000,6196251,827
6198751,6208751,10000,6203751,828
6206251,6216251,10000,6211251,829
6213751,6223751,10000,6218751,830
6221251,6231251,10000,6226251,831
6228751,6238751,10000,6233751,832
6236251,6246251,10000,6241251,833
6243751,6253751,10000,6248751,834
6251251,6261251,10000,6256251,835
6258751,6268751,10000,6263751,836
6266251,6276251,10000,6271251,837
6273751,6283751,10000,6278751,838
6281251,6291251,10000,6286251,839
6288751,6298751,10000,6293751,840
6296251,6306251,10000,6301251,841
6303751,6313751,10000,6308751,842
